Pasal,Isi
Pasal 928,"Barang-barang tetap yang atas dasar pengurangan harus kembali dalam harta peninggalan, karena pengembalian itu, menjadi bebas dan utang-utang atas hipotek-hipotek yang telah dibebankan kepada barang-barang itu oleh penerima hibah."
Pasal 929,Tuntutan hukum untuk pengurangan atau pengembalian dapat diajukan oleh para ahli waris terhadap pihak ketiga yang memegang besit atas barang-barang tetap yang merupakan bagian dari yang dihibahkan dan telah dipindahtangankan oleh penerima hibah itu; tuntutan itu harus diajukan dengan cara dan menurut urut-urutan yang sama seperti terhadap penerima hibah sendiri.
Pasal 930,"Tidaklah diperkenankan dua orang atau lebih membuat wasiat dalam satu akta yang sama, baik untuk keuntungan pihak ketiga maupun berdasarkan penetapan timbal balik atau bersama."
Pasal 931,"Surat wasiat hanya boleh dibuat, dengan akta olografis atau ditulis tangan sendiri, dengan akta umum atau dengan akta rahasia atau akta tertutup."
Pasal 932,Wasiat olografis harus seluruhnya ditulis tangan dan ditandatangani oleh pewaris.
Pasal 933,"Wasiat olografis demikian, setelah disimpan Notaris sesuai dengan pasal yang lalu, mempunyai kekuatan yang sama dengan surat wasiat yang dibuat dengan akta umur dan dianggap telah dibuat pada hari pembuatan akta penitipan, tanpa memperhatikan hari penandatanganan yang terdapat dalam surat wasiat itu sendiri."
Pasal 934,"Pewaris boleh meminta kembali wasiat olografisnya sewaktu-waktu asal untuk pertanggungjawaban Notaris dia mengusahakan, agar pengembalian itu dapat dibuktikan dengan akta otentik."
Pasal 935,"Dengan sepucuk surat di bawah tangan yang seluruhnya ditulis, diberi tanggal dan ditandatangani oleh pewaris, dapat ditetapkan wasiat, tanpa formalitas-formalitas lebih lanjut tetapi semata-mata hanya untuk pengangkatan para pelaksana untuk penguburan, untuk hibah- hibah wasiat tentang pakaian-pakaian, perhiasan-perhiasan badan tertentu, dan perkakas- perkakas khusus rumah."
Pasal 936,"Bila surat seperti yang dibicarakan dalam pasal yang lalu diketemukan setelah pewaris meninggal, maka surat itu harus disampaikan kepada Balai Harta Peninggalan yang di daerah hukumnya warisan itu terbuka; bila surat itu disegel, maka balai itu harus membukanya, dan dalam hal apa pun harus membuat berita acara tentang penyampaian surat itu serta tentang keadaan surat itu; akhirnya balai itu harus menyerahkan surat itu ke tangan Notaris untuk disimpan."
Pasal 937,"Surat wasiat olografis yang tertutup yang disampaikan ke tangan Notaris setelah meninggalnya pewaris harus disampaikan kepada Balai Harta Peninggalan, yang akan bertindak menurut Pasal 942 terhadap surat-surat wasiat tertutup."
Pasal 938,Wasiat dengan akta umum harus dibuat di hadapan Notaris dan dua orang saksi.
Pasal 939,Notaris harus menulis atau menyuruh menulis kehendak pewaris dalam kata-kata yang jelas menurut apa adanya yang disampaikan oleh pewaris kepadanya.
Pasal 940,"Bila pewaris hendak membuat surat wasiat tertutup atau rahasia, dia harus menandatangani penetapan-penetapannya, baik jika dia sendiri yang menulisnya ataupun jika ia menyuruh orang lain menulisnya; kertas yang memuat penetapan-penetapannya, atau kertas yang dipakai untuk sampul, bila digunakan sampul, harus tertutup dan disegel."
Pasal 941,"Dalam hal pewaris tidak dapat bicara tetapi dapat menulis, dia boleh membuat surat wasiat tertutup, asalkan ha! itu ditulis, diberi tanggal dan ditandatangani, seluruhnya dengan tangannya; dia harus menyampaikannya kepada Notaris di hadapan para saksi dan harus menulis dan menandatangani di atas akta itu penjelasannya, bahwa kertas yang disampaikannya kepada mereka adalah surat wasiatnya; dan setelah itu Notaris harus menulis akta penjelasannya dan menyatakan di dalamnya bahwa pewaris telah menulis keterangan itu dalam kehadiran Notaris dan pat-a saksi, di samping itu, hat-us diindahkan apa yang te!ah ditentukan dalam pasal yang lalu."
Pasal 942,"Setelah pewaris meninggal dunia, Notaris harus menyampaikan wasiat rahasia atau tertutup itu kepada Balai Harta Peninggalan yang dalam daerahnya warisan itu terbuka; balai ini harus membuka wasiat itu dan membuat berita acara tentang penyampaian dan pembukaan wasiat itu serta tentang keadaannya, dan kemudian menyampailkannya kembali kepada Notaris yang telah memberikannya."
Pasal 943,"Notaris yang menyimpan surat-surat wasiat diantara surat-surat aslinya, dalam bentuk apa pun juga, setelah meninggalnya pewaris, harus memberitahukannya kepada orang-orang yang berkepentingan."
Pasal 944,"Saksi-saksi yang hadir pada waktu pembukaan wasiat, harus sudah dewasa dan penduduk Indonesia. Mereka harus mengerti bahasa yang dipergunakan dalam menyusun wasiat itu atau dalam menulis akta penjelasan atau akta penitipan."
Pasal 945,Warga negara Indonesia yang berada di negeri asing tidak boleh membuat wasiat selain dengan akta otentik dan dengan mengindahkan formalitas-formalitas yang berlaku di negeri tempat akta itu dibuat.Namun ia berwenang untuk membuat penetapan dengan surat di bawah tangan atas dasar dan dengan cara seperti yang diuraikan dalam Pasal 935.
Pasal 946,"Dalam keadaan perang, para tentara anggota angkatan bersenjata lain, yang berada di medan perang ataupun di tempat yang diduduki musuh boleh membuat surat wasiat mereka di hadapan seorang perwira yang serendah-rendahnya berpangkat letnan, atau bila tidak ada perwira, dihadapan orang yang di tempat itu menduduki jabatan militer tertinggi, di samping dua orang saksi."
Pasal 947,"Surat wasiat orang-orang yang sedang berlayar di laut, boleh dibuat dihadapan nakhoda atau mualim kapal itu, atau bila mereka tidak ada, dihadapan orang yang menggantikan jabatan mereka dengan dihadiri dua orang saksi."
Pasal 948,"Mereka yang berada di tempat-tempat yang dilarang berhubungan dengan dunia luar karena berjangkitnya penyakit pes atau penyakit menular lain, boleh membuat wasiat mereka di hadapan setiap pegawai negeri dan dua orang saksi."
Pasal 949,"Surat-surat wasiat tersebut dalam tiga pasal yang lalu harus ditandatangani oleh pewaris, oleh orang yang dihadapannya wasiat itu dibuat, dan oleh sekurang-kurangnya salah seorang saksi."
Pasal 950,"Surat-surat wasiat termaksud dalam pasal-pasal 946,947,948 alinea pertama, kehilangan kekuatan bila pewaris meninggal enam bulan setelah berhentinya sebab yang telah menyebabkan wasiat itu dibuat dalam bentuk seperti itu."
Pasal 951,"Dalam hal-hal yang diatur dalam pasal-pasal 946,947,948 alinea pertama, orang-orang yang disebut di dalamnya boleh membuat wasiat dengan surat di bawah tangan, asalkan surat itu seluruhnya ditulis, diberi tanggal dan ditandatangani oleh pewaris."
Pasal 952,"Surat wasiat demikian akan kehilangan kekuatannya, bila pewaris meninggal tiga bulan setelah sebab tersebut dalam tiga pasal yang lalu berakhir, kecuali bila surat itu telah disampaikan kepada Notaris untuk disimpan dengan cara seperti yang diatur dalam Pasal 932."
Pasal 953,"Formalitas-formalitas yang telah ditetapkan untuk berbagai-bagai surat wasiat itu menurut ketentuan-ketentuan dalam bagian ini, harus diindahkan, dengan ancaman kebatalan."
Pasal 955,"Pada waktu pewaris meninggal dunia, baik para ahli waris yang diangkat dengan wasiat, maupun mereka yang oleh undang-undang diberi sebagian harta peninggalan itu, demi hukum memperoleh besit atas harta benda yang ditinggalkan."
Pasal 956,"Bila timbul perselisihan tentang siapa yang menjadi ahli waris, dan dengan demikian siapa yang berhak memegang besit, maka Hakim dapat memerintahkan agar harta benda itu disimpan di Pengadilan."
Pasal 957,"Hibah wasiat ialah suatu penetapan khusus, di mana pewaris memberikan kepada satu atau beberapa orang barang-barang tertentu, atau semua barang-barang dan macam tertentu; misalnya, semua barang-barang bergerak atau barang-barang tetap, atau hak pakai hasil atas sebagian atau semua barangnya."
Pasal 958,"Semua hibah wasiat yang murni dan tidak bersyarat, sejak hari meninggalnya pewaris, memberikan hak kepada penerima hibah wasiat (legitaris); untuk menuntut barang yang dihibahkan, dan hak ini beralih kepada sekalian ahli waris atau penggantinya."
Pasal 959,Penerima hibah wasiat harus meminta barang yang dihibahkan kepada para ahli waris atau penerima wasiat yang diwajibkan untuk menyerahkan barang yang dihibahkan itu.
Pasal 960,"Bunga dan hasil barang-barang yang dihibahwasiatkan adalah untuk keuntungan penerima hibah sejak hari kematian, kapan pun ia menuntut penyerahannya;"
Pasal 961,"Pajak dengan nama apapun, yang dipungut untuk negara, dibebankan kepada penerima hibah, kecuali bila pewaris menentukan lain."
Pasal 962,"Bila pewaris mewajibkan suatu beban kepada beberapa penerima hibah, maka mereka wajib memenuhinya, masing-masing sebanding dengan besarnya hibah wasiat, kecuali bila pewaris telah menetapkan lain."
Pasal 963,"Barang yang dihibahwasiatkan harus diserahkan dengan semua perlengkapannya, dan dalam keadaan seperti pada hari rneninggalnya pewaris."
Pasal 964,"Akan tetapi, setelah pewaris menghibahwasiatkan suatu barang tetap, maka apa yang telah dibeli atau diperoleh untuk memperbesar barang itu tidaklah termasuk dalam hibah wasiat itu; meskipun berbatasan dengan barang yang telah dihibahkan itu, kecuali bila pewaris menetapkan lain."
Pasal 965,"Bila sebelum atau sesudah dibuat surat wasiat, barang yang dihibahwasiatkan terikat dengan hipotek atau dengan hak pakai hasil untuk suatu utang dan harta peninggalan itu, atau untuk suatu utang pihak ketiga, maka orang yang harus menyerahkan hibah wasiat itu tidak wajib melepaskan barang dari ikatan itu, kecuali bila ia diperintahkan dengan tegas oleh pewaris untuk melakukannya.Namun bila penerima hibah telah melunasi utang berhipotek itu, maka ia mempunyai hak untuk menuntut para ahli waris sesuai dengan pasal 1106."
Pasal 966,"Bila pewaris menghibahwasiatkan barang tertentu milik orang lain, hibah wasiat ini adalah batal, entah pewaris itu tahu atau tidak tahu bahwa barang itu bukan kepunyaannya."
Pasal 967,"Akan tetapi ketentuan pasal yang lalu tidak menjadi halangan untuk membebankan persyaratan tertentu kepada ahli waris atau penerima hibah wasiat, yaitu kewajiban untuk melakukan pembayaran-pembayaran tertentu kepada pihak ketiga dengan barang-barangnya sendiri, atau untuk membebaskan utang-utangnya."
Pasal 968,"Hibah-hibah wasiat mengenai barang-barang tak tentu tetapi dari jenis tertentu, adalah sah entah pewaris meninggalkan barang yang demikian itu atau tidak."
Pasal 969,"Bila hibah wasiatnya terdiri dan barang-barang tak tentu, ahli waris tidak wajib memberikan jenis yang terbaik, namun ia juga tidak boleh memberikan jenis yang terjelek,"
Pasal 970,"Bila yang dihibahwasiatkan hanya hasil-hasil dan pendapatan-pendapatan tanpa digunakan kata-kata hak pakai hasil atau hak pakai oleh pewaris, maka barang yang bersangkutan haruslah tetap berada dalam pengelolaan ahli warisnya, yang sementara itu wajib membayarkan hasil- hasil dan pendapatannya kepada penerima hibah itu."
Pasal 971,Hibah wasiat kepada seorang kreditur tidak boleh dihitung sebagai pelunasan piutangnya seperti halnya hibah wasiat kepada pembantu rumah tangga tidak boleh dianggap sebagai pembayaran upah kerjanya.
Pasal 972,"Bila warisan tidak seluruhnya atau hanya sebagian diterima, atau bila warisan itu ditenma dengan hak khusus atas perincian harta peninggalan, dan harta yang ditinggalkan im tidak mencukupi untuk memenuhi hibah-hibah wasiat seluruhnya, maka hibah-hibah wasiat itu harus dikurangi, sebanding dengan besarnya masing-masing, kecuali bila pewaris telah menetapkan lain mengenai hal itu."
Pasal 973,"Barang-barang yang dikuasai sepenuhnya oleh orangtua, boleh mereka hibah wasiatkan, seluruhnya atau sebagian, kepada seorang anak mereka atau Iebih, dengan perintah untuk menyerahkan barang-barang itu kepada anak-anak mereka masing-masing, baik yang telah lahir maupun yang belum lahir. Bila seorang anak te!ah meninggal lebih dahulu, maka penetapan wasiat yang sama boleh dibuat untuk keuntungan satu orang cucu mereka atau lebili, dengan perintah menyerahkan barang-barang itu kepada anak-anak mereka masing-masing, baik yang telah lahir maupun yang belum lahir."
Pasal 974,"Demikian juga, boleh dibuat penetapan wasiat untuk keuntungan satu atau beberapa saudara laki-laki atau perempuan dan pewaris, atas seluruh atau sebagian barang-barang yang o!eh undang-undang tidak dikecualikan dan penetapan wasiat, dengan perintah untuk menyerahkan barang-barang itu kepada anak-anak meraka yang telah lahir maupun yang belum lahir."
Pasal 975,"Bila ahli waris yang dibebani itu meninggal dengan meninggalkan anak-anak dalam derajat pertama dan keturunan seorang anak yang meninggal lebih dahulu, maka sekalian keturunan ini berhak menikmati bagian dan anak yang meninggal lebih dahulu itu sebagai penggantinya."
Pasal 976,"Segala ketetapan wasiat yang diizinkan oleh pasal 973 dan 974, hanya berlaku sekadar pengangkatan waris dengan menunjukkan yang terkandung padanya hanya melampaui satu derajat, dan untuk mengkaruniakan seluruh anak si pemikul beban, baik yang sudah maupun yang akan dilahirkan, dengan tiada kecuali dan tiada memandang pada umur atau jenis kelamin."
Pasal 977,"Hak-hak ahli yang diangkat dengan penunjukkan ahli waris dengan wasiat, mulai berlaku pada saat berhentinya hak nikmat atas barang bagi si pemikul beban. Pelepasan diri dari hak nikmat atas barang untuk keuntungan para ahli waris, berharapan, tidak boleh merugikan kreditur yang telah berpiutang kepada pemikul beban sebelum pelepasan ini, pun tidak boleh merugikan anak-anak yang lahir setelah pelepasan itu."
Pasal 978,"Barangsiapa membuat ketetapan-ketetapan tersebut dalam pasal yang lalu, dengan suatu wasiat atau dengan suatu akta Notaris yang dibuat kemudian, boleh menempatkan barang-barang di bawah kekuasaan satu atau beberapa pengelola selama dalani masa beban."
Pasal 979,"Bila pengelola itu meninggal atau tidak ada, atas permohonan si pemikul beban atau orang- orang yang berkepentingan, atau atas tuntutan jawatan Kejaksaan, Hakim berkuasa mengangkat orang lain untuk mengganti pengurus itu."
Pasal 980,"Dalam waktu sebulan setelah meninggalnya orang yang membuat penetapan wasiat seperti di atas, maka atas permohonan pengelola yang telah di angkat, atas permintaan orang-orang yang berkepentingan atau atas tuntutan jawatan Kejaksaan, harus dibuat perincian barang-barang yang merupakan harta peninggalan itu."
Pasal 981,"Perincian harta atau daftar ini harus dibuat di hadapan pengelola yang telah diangkat, dan di hadapan orang-orang yang berkepentingan atau setelah mereka dipanggil dengan sah."
Pasal 982,"Bila pewaris tidak mengangkat pengelola, maka barang-barangnya dikelola oleh ahli waris yang dibebani, dan ia wajib menjamin penyimpanannya, penggunaan secara layak dan penyerahan lebih lanjut barang-barang itu, kecuali bila pewaris dengan tegas telah membebaskannya dan segala kewajiban untuk mengadakan jaminan."
Pasal 983,"Ahli waris memikul beban, yang dalam hal tersebut dalam pasal yang lalu tidak memberikan jaminan, harus merelakan barang-barang itu, atas permohonan orang-orang yang berkepentingan, atau atas tuntutan jawatan Kejaksaan, untuk diserahkan kepada pengelola seorang yang diangkat oleh Pengadilan Negeri, yang terhadapnya berlaku segala hak dan"
Pasal 984,"AhIi waris pemikul beban, yang menjalankan sendiri pengelolaannya, harus mengelola barang- barang itu sebagaimana layaknya seorang kepala rumah tangga yang baik, dan dalam hal itu dan dalam hal memikul biaya dan beban, serta dalam hal melakukan perbaikan-perbaikan, ia sama dengan pemegang hak pakai hasil."
Pasal 985,"Segala harta benda tetap, demikian pula bunga dan piutang, tidak boleh dipindahtangankan atau dibebani, kecuali dengan izin Pengadilan Negeri, setelah mendengar ahli waris berharapan dan jawatan Kejaksaan."
Pasal 986,"Pengangkatan ahli waris dengan wasiat yang pada bagian ini diperkenankan, tidak boleh dipertahankan terhadap pihak ketiga, bahkan oleh anak yang di bawah umur sekalipun, bila hal itu tidak diumumkan, dengan cara berikut: mengenai barang-barang tetap, dengan cara yang ditentukan dalam Pasal 620; dan mengenai piutang-piutang berhipotek, dengan mendaftarkan barang-barang yang terikat untuk piutang-piutang itu atau dengan membubuhkan keterangan di sebelah daftar yang telah ada."
Pasal 987,"Ahli waris karena undang-undang atau ahli waris karena surat wasiat dan orang yang mengangkat ahli waris dengan wasiat, dalam hal apa pun tidak boleh mengajukan bantahan kepada ahli waris berharapan berdasarkan tidak adanya pengumuman, pendaftaran atau pembubuhan keterangan seperti yang diperintahkan dalam pasal yang lalu."
Pasal 988,"Para pengelola wajib menyelenggarakan pengumuman, pendaftaran dan pembubuhan keterangan seperti yang diperintahkan dalam Pasal 986, yang pelanggarannya diancam dengan hukuman penggantian biaya kerugian dan bunga."
Pasal 989,"Dalam hal ada pengangkatan ahli waris atau pemberian hibah wasiat atas dasar yang dicantumkan dalam Pasal 881, ahli waris atau penerima hibah memindahkan atau menghabiskan, dan bahkan berhak menghibahkan barang-barang warisan itu kepada sesama yang masih hidup, kecuali bila hal terakhir ini dilarang oleh pewaris untuk seluruhnya atau untuk sebagian."
Pasal 990,"Kewajiban untuk membuat perincian harta peninggalan atau daftar setelah pewaris meninggal, dan kewajiban untuk menyerahkan surat-surat itu kepada kepaniteraan Pengadilan Negeri sebagaimana diatur dalam Pasal 980 dan 981, juga berlaku bagi ahli waris atau penerima hibah yang memikul beban sebagaimana diatur dalam bagian ini, tetapi ia tidak wajib memberikan suatu jaminan."
Pasal 991,"Setelah meninggalnya ahi waris atau penerima hibah yang dibebani, ahli waris berharapan berhak menuntut, supaya segala sesuatu yang masih tersisa dari warisan atau hibah wasiat itu segera diserahkan kepadanya dalam wujudnya."
Pasal 992,"Suatu wasiat, baik seluruhnya maupun sebagian, tidak boleh dicabut, kecuali dengan wasiat yang lebih kemudian, atau dengan suatu akta Notaris yang khusus, yang mengandung pernyataan pewaris tentang pencabutan seluruhnya atau sebagian wasiat yang dulu, tanpa mengurangi ketentuan Pasal 934."
Pasal 993,"Bila surat wasiat kemudian itu, yang memuat pencabutan secara tegas wasiat yang terdahulu, tidak dilengkapi dengan formalitas-formalitas yang disyaratkan untuk sahnya surat wasiat, tetapi memenuhi yang disyaratkan untuk sahnya akta Notaris, maka penetapanpenetapan yang dahulu, sekiranya diulangi dalam penetapan yang kemudian, harus dianggap tidak dicabut."
Pasal 994,"Surat wasiat kemudian, yang tidak mencabut wasiat terdahulu secara tegas, hanya membatalkan penetapan-penetapan surat wasiat yang terdahulu itu sejauh tidak dapat disesuaikan dengan penetapan-penetapan yang baru, atau bertentangan dengan itu."
Pasal 995,"Pencabutan yang dilakukan dengan surat wasiat yang kemudian baik secara tersurat maupun tersirat, berlaku sepenuhnya, pun sekiranya akta yang baru itu tak berlaku karena tidak cakapnya ahli waris atau penerima hibah yang ditetapkan, atau karena penolakan mereka untuk menerima warisan itu."
Pasal 996,"Semua pemindahtanganan, bahkan penjualan dengan hak untuk membeli kembali, atau tukar menukar, yang dilakukan oleh pewaris atas barang yang dihibahwasiatkan, seluruhnya atau sebagian, selalu mengakibatkan tercabutnya hibah wasiat yang dipindahtangankan mungkin telah kembali ke dalam harta peninggalan pewaris."
Pasal 997,"Semua penetapan dengan surat wasiat yang dibuat dengan persyaratan yang bergantung pada peristiwa yang tidak tentu terjadinya dan sifatnya, sehingga pewaris harus dianggap telah menggantungkan pelaksanaan penetapannya dengan terjadi tidaknya peristiwa itu, adaIah gugur, bila ahli waris atau penerima hibah yang ditetapkan itu meninggal sebelum terpenuhi persyaratan itu."
Pasal 998,"Bila dengan persyaratan itu pewaris hanya bermaksud menangguhkan pelaksanaan penetapannya, maka hal yang demikian itu tidak menghalangi ahli waris atau penerima hibah yang ditetapkan itu untuk mempunyai hak yang diperoleh itu, dan untuk mengalihkannya kepada ahli warisnya."
Pasal 999,"Suatu hibah wasiat gugur, bila barang yang dihibahwasiatkan musnah sama sekali semasa pewaris masih hidup."
Pasal 1000,"Suatu hibah wasiat berupa bunga, piutang atau tagihan utang lain kepada pihak ketiga, gugur sekedar mengenai apa yang pada waktu pewaris masih hidup kiranya telah dibayar."
Pasal 1001,"Suatu penetapan yang dibuat dengan wasiat, gugur bila ahli waris atau penerima hibah yang ditetapkan itu menolak warisan atau hibah wasiat itu, atau ternyata tidak cakap untuk memanfaatkan hal itu.Bila pada penetapan itu diberikan keuntungan kepada pihak ketiga, maka pemberian keuntungan itu tidak gugul orang yang berhak atas warisan atau hibah wasiat itu, tanpa mengurangi wewenangnya untuk melepaskan din secara utuh dan tak bersyarat dan wansan atau hibah wasiat itu, tetap wajib memberi keuntungan kepada pihak ketiga itu."
Pasal 1002,"Warisan atau hibah wasiat bagi para ahli waris atau penerima hibah menjadi bertambah, dalam hal pengangkatan ahli waris atau pemberian hibah wasiat ditetapkan untuk beberapa orang bersama-sama, bila hal itu dibuat dengan satu penetapan yang sama, dan kepada masing- masing ahli waris atau penerima hibah itu pewaris itu tidak menunjukkan bagian tertentu dan barangnya, seperti seperdua, sepertiga, dan seterusnya. Perkataan ""untuk bagian-bagian sama besar"" tidak dianggap sebagai petunjuk ""bagian tertentu"" seperti yang diatur dalam pasal ini."
Pasal 1003,"Selanjutnya pewaris juga harus dianggap telah memberikan hibah wasiat kepada beberapa orang bersama-sama, bila suatu barang yang tidak dapat dibagi-bagi tanpa menjadi rusak, diwasiatkan dalam satu akta yang sama kepada beberapa orang, meskipun diwasiatkan secara sendiri-sendiri."
Pasal 1004,"Pernyataan gugurnya surat-surat wasiat dapat diminta setelah meninggalnya pewaris, karena tidak dilaksanakan persyaratan-persyaratannya."
Pasal 1005,"Seorang pewaris boleh mengangkat seorang atau lebih pelaksana surat wasiatnya, baik dengan surat wasiat maupun dengan akta di bawah tangan seperti yang tercantum pada Pasal 935, ataupun dengan akta Notaris khusus. Ia dapat juga mengangkat beberapa orang, agar pada waktu yang satu berhalangan, yang lain dapat menggantikannya."
Pasal 1006,"Wanita yang telah kawin, anak di bawah umur, sekalipun ia telah memperoleh pendewasaan, orang yang ada di bawah pengampuan, dan siapa saja yang tidak cakap untuk mengadakan ikatan, tidak boleh menjadi pelaksana wasiat."
Pasal 1007,"Kepada para pelaksana wasiat, pewaris dapat memberikan penguasaan atas semua barang dari harta peninggalan, atau bagian tertentu daripadanya."
Pasal 1008,"Bila semua ahli waris sepakat, mereka dapat menghentikan penguasaan itu, asalkan mereka memungkinkan para pelaksana untuk membayar atau menyerahkan hibah-hibah wasiat yang murni dan tak bersyarat, atau menunjukkan bahwa penyerahan hibah-hibah itu telah dilaksanakan."
Pasal 1009,"Pelaksana surat wasiat harus mengusahakan penyegelan harta peninggalannya, bila ada ahli waris yang masih di bawah umur atau ditaruh di bawah pengampuan. yang pada waktu pewaris meninggal tidak mempunyai wali atau pengampu, atau jika ada ahli waris yang tidak hadir, baik sendiri maupun dengan perantaraan."
Pasal 1010,Pelaksana wajib mengusahakan pembuatan perincian harta peninggalan itu dihadapan para ahli waris yang ada di Indonesia atau setelah memanggil mereka dengan sah.
Pasal 1011,"Pelaksana harus mengusahakan agar kehendak terakhir pewaris dilaksanakan, dan dalam hal terjadi perselisihan mengajukan tuntutan ke pengadilan untuk mempertahankan berlakunya surat wasiatnya."
Pasal 1012,"Bila uang tunai yang diperlukan untuk membayar hibah-hibah wasiat tidak tersedia, maka pelaksana mempunyai wewenang untuk mengusahakan penjualan di muka umum dan menurut kebiasaan setempat. atas barang-barang bergerak dari harta peninggalan itu, dan bila perlu, juga satu atau beberapa dari harta tetap, tetapi yang tersebut terakhir haruslah dengan persetujuan para ahli waris, atau bila mereka tidak ada dengan izin Hakim, kecuali bila para ahli waris berkenan untuk membayar lebih dahulu uang yang diperlukan."
Pasal 1013,"Para pelaksana yang menguasai harta peninggalan bahkan di muka Hakim pun, berwenang untuk menagih piutang-piutang yang tiba waktunya dan dapat ditagih selama penguasaan."
Pasal 1014,"Mereka tidak berwenang untuk menjual barang-barang harta peninggalan dengan maksud untuk melakukan pembagian; pada akhir pengelolaan, mereka wajib memberikan perhitungan dan pertanggungjawaban kepada orang-orang yang berkepentingan, dengan menyerahkan semua barang dan efek yang termasuk harta peninggalan, beserta penutup perhitungannya, agar dapat diadakan pembagian antara para ahli waris. Dalam hal melakukan pembagian, mereka harus membantu para ahli waris, bila para ahli waris ini menghendakinya."
Pasal 1015,Kekuasaan pelaksana suatu wasiat tidak beralih kepada ahli warisnya.
Pasal 1016,"Bila ada beberapa pelaksana satu surat wasiat yang telah menerima tugas itu, maka masing- masing dapat bekerja sendiri bila yang tidak ada dan mereka masing-masing dalam hal ini bertanggung jawab atas pengelolaan itu, kecuali bila pewaris telah membagi pekerjaan mereka, dan masing-masing harus membatasi diri dalam lingkungan urusan yang diserahkan kepadanya."
Pasal 1017,"Biaya yang dikeluarkan oleh pelaksana surat wasiat untuk penyegelan, pemerincian harta, perhitungan dan pertanggungjawaban dan urusan lain yang berhubungan dengan pekerjaan mereka, dibebankan pada harta peninggalan itu."
Pasal 1018,"Tiap-tiap ketentuan pewaris yang berisi bahwa pelaksana surat wasiatnya dibebaskan dari pembuatan pemerincian harta peninggalan, atau dari pemberian perhitungan dan pertanggungjawaban, batal menurut hukum."
Pasal 1019,"Tanpa mengurangi apa yang telah ditentukan mengenai hak pakai hasil, mengenai penunjukan ahli waris dengan wasiat, dan mengenai anak-anak di bawah umur dan orang-orang yang dalam pengampuan, pewaris boleh mengangkat seorang pengelola atau lebih, dengan surat wasiat atau dengan akta Notaris khusus, untuk mengelola barang-barang yang ditinggalkan kepada para ahli waris dan para penerima hibah wasiat selama hidup mereka ini atau selama waktu tertentu, asalkan dengan itu tidak dilanggar penyerahan secara bebas bagian para ahli waris menurut undang-undang. Ketentuan Pasal 1016 berlaku terhadap hal ini."
Pasal 1020,"Bila pewaris tidak menunjuk orang-orang yang akan bertindak sebagai pengganti pengelola yang berhalangan, maka hal ini akan ditetapkan oleh Pengadilan Negeri setelah mendengar jawatan Kejaksaan."
Pasal 1021,"Tiada seorang pun diwajibkan untuk menerima tugas pelaksana suatu wasiat atau tugas pengelola warisan atau hibah wasiat, tetapi orang yang telah menerima hal itu wajib"
Pasal 1022,"Pelaksana surat wasiat, demikian pula pengelola tersebut pada Pasal 1019, dapat dipecat karena alasan yang sama seperti yang berlaku bagi wali."
Pasal 1023,"Barangsiapa memperoleh hak atas suatu warisan dan sekiranya ingin menyelidiki keadaan harta peninggalan itu, agar dapat mempertimbangkan yang terbaik bagi kepentingan mereka, apakah menerima secara murni, ataukah menerima dengan hak istimewa untuk merinci harta peninggalan itu, ataukah menolaknya, mempunyai hak untuk berpikir, dan harus memberikan pernyataan mengenai hal itu pada kepaniteraan Pengadilan Negeri yang dalam daerah hukumnya warisan itu terbuka; pernyataan itu harus didaftarkan dalam daftar yang disediakan untuk itu."
Pasal 1024,"Kepada ahli waris tersebut diberikan juga jangka waktu empat bulan, terhitung dari hari pemberian pernyataan, untuk menyuruh pengadaan perincian harta itu dan untuk berpikir."
Pasal 1025,"Selama jangka waktu yang ditetapkan itu, ahli waris yang sedang berpikir itu tidak boleh diharuskan bertindak sebagai ahli waris. Terhadapnya tidak dapat dijatuhkan hukuman oleh Pengadilan, dan pelaksanaan putusan-putusan Hakim terhadap pewaris tetap ditangguhkan. Ia berkewajiban untuk bertindak sebagai seorang kepala rumah tangga yang baik dalam menjaga harta peninggalan itu."
Pasal 1026,"Ahli waris yang sedang berpikir itu berwenang minta izin kepada Hakim untuk menjual semua benda yang tidak perlu atau tidak dapat disimpan, serta untuk melakukan segala macam tindakan yang tidak dapat ditunda."
Pasal 1027,"Atas kepentingan orang-orang yang berkepentingan, Hakim dapat memerintahkan tindakan- tindakan yang dianggapnya perlu diambil, baik untuk keselamatan barang-barang harta peninggalan maupun untuk kepentingan pihak ketiga."
Pasal 1028,"Di tempat-tempat seperti yang dimaksud dalam penutup Pasal 1023 Kepala Pemerintahan Daerah setempat mempunyai wewenang yang dalam pasal lalu diberikan kepada Hakim, dan kepada pejabat tersebut dapat dimintakan izin termaksud dalam Pasal 1026."
Pasal 1029,"Setelah lampau jangka waktu yang ditentukan dalam Pasal 1024, ahli waris dapat dipaksa untuk menolak warisan itu, atau menerimanya, baik secara murni maupun dengan hak istimewa untuk merinci harta peninggalan itu. Dalam hal yang terakhir ini, harus diberikan pernyataan dengan cara yang sama seperti yang ditetapkan dalam Pasal 1023."
Pasal 1030,"Setelah habisnya jangka waktu itu pun, ahli waris masih berhak menyuruh mengadakan perincian harta peninggalan itu, dan untuk menerimanya, dengan hak istimewa untuk membuat perincian, kecuali bila dia bertindak sebagai ahli waris murni."
Pasal 1031,"Ahli waris kehilangan hak istimewa pemerincian, dan dianggap sebagai ahli waris murni:"
